domain,record_type,encoding_type,encodePacketStart,encodePacketEnd,dnsResStart,dnsResEnd,encode_duration,dns_resolution_duration,total_duration
example.com,A,Base16,832736.393044083,832736.393085916,832736.393086041,832736.395741833,4.183291457593441e-05,0.00265579205006361,0.0026977499946951866
example.com,A,Base32,832736.39602925,832736.396121,832736.396121125,832736.398037791,9.175005834549665e-05,0.0019166660495102406,0.0020085410214960575
example.com,A,Base64,832736.398137708,832736.398155708,832736.398155791,832736.400380125,1.8000020645558834e-05,0.0022243340499699116,0.002242417074739933
example.com,A,Base85,832736.4004525,832736.400820833,832736.400820958,832736.402545666,0.0003683330724015832,0.001724708010442555,0.0020931659964844584
example.com,A,Base91,832736.402613166,832736.402640958,832736.402641083,832736.404578041,2.7791946195065975e-05,0.001936958055011928,0.001964875031262636
example.com,A,Binary,832736.404654083,832736.404679958,832736.404680041,832736.406404333,2.5875051505863667e-05,0.0017242919420823455,0.0017502499977126718
example.com,A,Hexadecimal,832736.406467416,832736.406481791,832736.406481875,832736.408225541,1.4375080354511738e-05,0.0017436660127714276,0.0017581250285729766
example.com,A,NetBios,832736.408297875,832736.408308791,832736.408308875,832736.410476875,1.0916031897068024e-05,0.002167999977245927,0.002179000061005354
example.com,A,DecimalEncoding,832736.410550166,832736.410569166,832736.41056925,832736.412628583,1.8999911844730377e-05,0.002059333026409149,0.0020784169901162386
example.com,A,ROT13,832736.412745583,832736.412800916,832736.412801,832736.414674791,5.5333017371594906e-05,0.0018737909849733114,0.0019292080542072654
example.com,A,URL,832736.414753416,832736.417506041,832736.417506125,832736.419523458,0.0027526250341907144,0.0020173329394310713,0.004770042025484145
example.com,A,ALL,832736.41963075,832736.420330166,832736.420330291,832736.422651791,0.0006994160357862711,0.002321499981917441,0.003021041047759354
example.com,AAAA,Base16,832736.422746166,832736.422778,832736.422778125,832736.424530666,3.183400258421898e-05,0.001752540934830904,0.0017844999674707651
example.com,AAAA,Base32,832736.424611291,832736.424647583,832736.424647625,832736.427057958,3.629201091825962e-05,0.00241033302154392,0.0024466669419780374
example.com,AAAA,Base64,832736.427305708,832736.427326833,832736.427326916,832736.429857583,2.1124957129359245e-05,0.0025306669995188713,0.002551874960772693
example.com,AAAA,Base85,832736.42995825,832736.429987625,832736.429987708,832736.431695125,2.9374961741268635e-05,0.0017074169591069221,0.0017368749249726534
example.com,AAAA,Base91,832736.43176625,832736.431789666,832736.431789791,832736.433557916,2.3415894247591496e-05,0.0017681249883025885,0.001791665912605822
example.com,AAAA,Binary,832736.433629583,832736.433654458,832736.433654541,832736.435313875,2.4875043891370296e-05,0.0016593339387327433,0.0016842919867485762
example.com,AAAA,Hexadecimal,832736.435373583,832736.435386833,832736.435386875,832736.4374005,1.325004268437624e-05,0.0020136251114308834,0.0020269170636311173
example.com,AAAA,NetBios,832736.437483666,832736.437496083,832736.437496166,832736.440490375,1.2416974641382694e-05,0.002994209062308073,0.0030067090410739183
example.com,AAAA,DecimalEncoding,832736.440565,832736.440583666,832736.44058375,832736.443841583,1.86659162864089e-05,0.003257832955569029,0.003276582923717797
example.com,AAAA,ROT13,832736.443937041,832736.443960125,832736.443960208,832736.447147958,2.3083994165062904e-05,0.0031877500005066395,0.003210916998796165
example.com,AAAA,URL,832736.447233166,832736.447256625,832736.44725675,832736.448980333,2.345908433198929e-05,0.0017235830891877413,0.0017471670871600509
example.com,AAAA,ALL,832736.44904725,832736.45081825,832736.450818541,832736.45349975,0.0017709999810904264,0.0026812090072780848,0.0044525000266730785
